faultNumber,simulationRun,sample,xmeas_1,xmeas_2,xmeas_3,xmeas_4,xmeas_5,xmeas_6,xmeas_7,xmeas_8,xmeas_9,xmeas_10,xmeas_11,xmeas_12,xmeas_13,xmeas_14,xmeas_15,xmeas_16,xmeas_17,xmeas_18,xmeas_19,xmeas_20,xmeas_21,xmeas_22,xmeas_23,xmeas_24,xmeas_25,xmeas_26,xmeas_27,xmeas_28,xmeas_29,xmeas_30,xmeas_31,xmeas_32,xmeas_33,xmeas_34,xmeas_35,xmeas_36,xmeas_37,xmeas_38,xmeas_39,xmeas_40,xmeas_41,xmv_1,xmv_2,xmv_3,xmv_4,xmv_5,xmv_6,xmv_7,xmv_8,xmv_9,xmv_10,xmv_11,fault_present
0.0,10.0,11,0.24696,3604.6,4481.6,9.3631,26.484,42.117,2706.1,75.08,120.38,0.33313,79.875,48.62,2634.5,25.127,51.016,3102.0,22.368,65.573,231.68,342.09,94.633,77.448,32.136,8.9761,26.825,6.8552,18.976,1.651,33.276,13.746,23.901,1.1982,18.831,2.2807,4.7877,2.3702,0.027892,0.8476,0.094891,53.092,43.499,61.953,54.123,24.668,58.941,22.48,39.91,34.04,48.885,47.492,40.561,19.52,0
0.0,10.0,12,0.24725,3610.8,4481.8,9.3889,26.777,42.104,2709.5,74.719,120.39,0.33318,80.092,48.075,2638.8,25.018,50.282,3104.4,23.445,65.625,228.39,342.29,94.848,77.583,32.136,8.9761,26.825,6.8552,18.976,1.651,33.276,13.746,23.901,1.1982,18.831,2.2807,4.7877,2.3702,0.027892,0.8476,0.094891,53.092,43.499,61.846,54.121,24.64,61.284,22.624,39.904,32.436,47.188,47.855,40.875,16.939,0
0.0,10.0,13,0.25634,3672.1,4509.0,9.404,27.176,42.146,2713.0,74.985,120.42,0.32953,80.322,50.138,2642.5,27.332,48.184,3109.7,22.497,65.724,231.12,342.17,94.479,77.917,32.321,8.9251,26.002,6.8409,19.238,1.6199,33.27,13.956,24.072,1.2058,18.443,2.2421,4.8546,2.3274,0.027892,0.8476,0.094891,53.092,43.499,62.737,53.549,24.954,60.931,22.351,38.877,38.505,42.332,47.677,41.128,19.137,0
0.0,10.0,14,0.2557,3650.7,4482.1,9.3692,27.341,42.306,2713.6,74.58,120.44,0.33104,80.397,50.624,2642.7,25.912,51.45,3110.3,22.436,65.79,231.61,342.39,94.571,77.776,32.321,8.9251,26.002,6.8409,19.238,1.6199,33.27,13.956,24.072,1.2058,18.443,2.2421,4.8546,2.3274,0.027892,0.8476,0.094891,53.092,43.499,63.105,53.871,25.017,60.014,22.535,38.693,39.937,49.889,47.694,40.541,19.273,0
0.0,10.0,15,0.23555,3659.8,4491.6,9.2923,27.194,42.579,2709.2,74.21,120.41,0.35054,80.052,50.027,2637.8,24.781,48.635,3106.4,22.689,65.826,231.6,342.17,94.508,77.05,32.068,8.8164,26.355,6.8836,18.669,1.6463,33.286,13.767,24.647,1.2577,18.419,2.2366,4.896,2.2721,0.027892,0.8476,0.094891,53.092,43.499,63.107,53.058,23.399,62.556,22.51,41.998,38.18,43.376,47.755,41.243,18.723,0
0.0,10.0,16,0.23386,3643.3,4485.3,9.3059,26.782,41.993,2708.4,75.069,120.4,0.35071,79.984,48.966,2637.5,26.249,50.308,3104.2,22.091,65.758,232.18,342.07,94.675,77.36,32.068,8.8164,26.355,6.8836,18.669,1.6463,33.286,13.767,24.647,1.2577,18.419,2.2366,4.896,2.2721,0.010243,0.84147,0.091658,54.216,43.006,63.39,53.132,23.564,60.489,22.453,41.978,35.058,47.246,47.944,41.173,20.13,0
0.0,10.0,17,0.26155,3655.4,4509.8,9.3044,27.127,42.68,2706.9,74.374,120.41,0.32894,79.803,49.832,2635.5,25.168,50.165,3104.4,23.287,65.753,231.56,342.44,94.656,76.829,32.32,8.9271,26.317,6.9018,18.887,1.6176,32.727,13.812,24.082,1.2159,18.656,2.2732,4.8468,2.3037,0.010243,0.84147,0.091658,54.216,43.006,62.826,54.206,25.634,62.593,22.554,39.609,37.605,46.915,48.142,41.356,17.347,0
0.0,10.0,18,0.26277,3668.8,4558.8,9.3475,27.268,42.231,2707.8,74.841,120.38,0.3296,79.768,49.136,2636.9,25.118,50.797,3103.8,22.942,65.684,234.87,342.69,94.599,76.986,32.32,8.9271,26.317,6.9018,18.887,1.6176,32.727,13.812,24.082,1.2159,18.656,2.2732,4.8468,2.3037,0.010243,0.84147,0.091658,54.216,43.006,62.595,53.62,25.514,61.056,22.76,39.529,35.557,48.379,47.992,40.813,18.169,0
0.0,10.0,19,0.23578,3639.9,4507.0,9.3283,26.607,42.201,2709.4,74.69,120.41,0.33963,79.846,50.554,2638.1,25.067,49.169,3103.9,23.651,65.665,233.6,342.64,94.688,77.301,32.485,8.8074,26.328,6.8608,18.622,1.6716,33.727,14.007,24.225,1.3768,18.468,2.2723,4.7418,2.273,0.010243,0.84147,0.091658,54.216,43.006,62.922,53.705,23.362,63.299,22.435,39.469,39.73,44.611,48.252,41.205,16.467,0
0.0,10.0,20,0.2348,3645.2,4519.1,9.4145,26.723,42.356,2710.9,75.095,120.39,0.33853,79.993,50.954,2639.1,24.224,48.543,3105.8,23.091,65.716,235.47,342.99,94.634,77.502,32.485,8.8074,26.328,6.8608,18.622,1.6716,33.727,14.007,24.225,1.3768,18.468,2.2723,4.7418,2.273,0.010243,0.84147,0.091658,54.216,43.006,62.831,53.561,23.459,60.179,22.764,39.603,40.908,43.162,48.226,40.478,17.773,0
0.0,10.0,21,0.21828,3659.7,4481.0,9.4274,26.772,42.321,2712.6,74.204,120.39,0.35922,80.172,49.632,2642.1,25.59,50.958,3107.7,21.71,65.749,232.43,343.15,94.546,77.594,32.815,8.9469,27.056,6.7757,19.145,1.6776,32.905,13.711,23.68,1.1834,18.599,2.3074,4.7923,2.2888,0.013744,0.82736,0.10029,53.712,45.048,62.943,54.669,21.5,59.977,22.796,42.438,37.016,48.75,48.495,40.815,21.03,0
0.0,10.0,22,0.21854,3685.6,4508.1,9.4272,26.526,42.318,2709.0,75.481,120.42,0.35825,79.884,52.023,2637.5,25.619,49.487,3105.6,22.877,65.802,234.82,342.94,94.667,76.758,32.815,8.9469,27.056,6.7757,19.145,1.6776,32.905,13.711,23.68,1.1834,18.599,2.3074,4.7923,2.2888,0.013744,0.82736,0.10029,53.712,45.048,62.497,54.344,21.475,60.808,22.108,42.556,44.054,45.347,48.359,41.153,18.323,0
0.0,10.0,23,0.18431,3665.3,4479.2,9.373,27.216,42.344,2708.8,75.138,120.39,0.32911,79.905,50.475,2637.2,25.168,50.137,3104.8,22.433,65.753,235.33,342.79,94.554,77.478,32.331,8.8975,27.088,6.921,18.609,1.6644,33.545,13.834,24.223,1.2003,18.748,2.2674,4.8393,2.2018,0.013744,0.82736,0.10029,53.712,45.048,63.652,53.39,17.62,62.22,22.639,38.245,39.497,46.851,48.393,40.903,19.335,0
0.0,10.0,24,0.18246,3700.1,4486.4,9.4114,27.085,42.205,2709.6,73.57,120.41,0.32599,80.14,49.514,2639.4,23.764,51.102,3105.0,23.829,65.81,234.41,342.16,94.562,77.522,32.331,8.8975,27.088,6.921,18.609,1.6644,33.545,13.834,24.223,1.2003,18.748,2.2674,4.8393,2.2018,0.013744,0.82736,0.10029,53.712,45.048,63.053,53.304,17.802,59.543,22.652,38.625,36.67,49.085,48.55,41.04,15.993,0
0.0,10.0,25,0.22555,3664.1,4523.4,9.4663,27.09,42.457,2710.4,75.3,120.4,0.33959,80.179,50.391,2639.4,25.983,50.744,3106.3,22.738,65.883,234.23,342.58,94.564,77.352,32.681,8.804,26.194,6.7518,19.074,1.6444,33.086,13.929,23.88,1.2109,18.303,2.2659,4.879,2.2835,0.013744,0.82736,0.10029,53.712,45.048,62.431,54.159,21.99,61.938,22.686,40.18,39.25,48.255,48.64,40.789,18.584,0
0.0,10.0,26,0.22443,3654.9,4543.9,9.4149,26.684,42.516,2709.8,74.774,120.37,0.33773,80.123,50.852,2638.6,24.925,49.664,3106.2,22.822,65.895,235.29,342.3,94.678,77.455,32.681,8.804,26.194,6.7518,19.074,1.6444,33.086,13.929,23.88,1.2109,18.303,2.2659,4.879,2.2835,0.010221,0.82945,0.095823,53.673,44.53,62.59,53.913,22.099,60.601,22.428,40.407,40.606,45.757,48.255,40.657,18.374,0
0.0,10.0,27,0.18818,3695.3,4456.1,9.3031,26.686,42.685,2707.1,75.518,120.41,0.35069,79.88,49.557,2635.6,24.579,50.153,3103.8,23.272,65.863,236.05,342.45,94.582,77.036,31.891,8.8697,26.417,6.968,19.11,1.6204,33.089,13.623,23.809,1.3465,18.616,2.2508,4.8178,2.3978,0.010221,0.82945,0.095823,53.673,44.53,63.421,53.811,18.345,63.244,22.119,41.436,36.797,46.889,48.104,41.042,17.344,0
0.0,10.0,28,0.18915,3686.7,4481.6,9.4178,26.588,41.95,2705.8,74.992,120.38,0.35126,79.826,50.457,2634.4,24.243,48.515,3102.6,22.493,65.776,234.44,341.74,94.574,77.084,31.891,8.8697,26.417,6.968,19.11,1.6204,33.089,13.623,23.809,1.3465,18.616,2.2508,4.8178,2.3978,0.010221,0.82945,0.095823,53.673,44.53,63.569,53.507,18.249,60.935,22.307,41.367,39.445,43.097,48.169,40.55,19.211,0
0.0,10.0,29,0.26341,3646.0,4460.3,9.2763,26.919,42.504,2705.8,75.705,120.4,0.31703,79.608,50.157,2633.3,25.586,50.888,3103.3,24.038,65.692,234.85,341.64,94.775,76.877,32.579,9.0031,26.105,7.0269,18.653,1.63,32.704,13.844,24.317,1.3334,18.719,2.2733,4.8828,2.317,0.010221,0.82945,0.095823,53.673,44.53,62.394,53.622,25.788,64.013,22.038,37.293,38.562,48.588,48.057,41.083,15.588,0
0.0,10.0,30,0.26167,3596.5,4471.1,9.3976,27.073,42.231,2710.6,74.28,120.42,0.31747,79.868,51.632,2639.5,24.891,50.802,3106.3,21.772,65.671,234.1,342.15,94.708,77.365,32.579,9.0031,26.105,7.0269,18.653,1.63,32.704,13.844,24.317,1.3334,18.719,2.2733,4.8828,2.317,0.010221,0.82945,0.095823,53.673,44.53,63.245,53.492,25.958,61.061,22.393,37.24,42.902,48.391,48.051,40.944,20.938,0
0.0,10.0,31,0.1956,3592.6,4524.3,9.1619,26.826,42.298,2713.5,74.657,120.39,0.34044,80.095,49.324,2642.5,22.797,50.865,3108.7,23.264,65.69,236.15,342.16,94.713,77.73,31.936,8.8305,27.238,6.9097,18.429,1.6466,32.797,13.894,24.256,1.3443,18.374,2.2394,4.8213,2.3207,0.030831,0.81773,0.073152,53.298,44.408,62.686,53.96,19.258,63.006,22.779,40.23,36.111,48.536,47.832,40.759,17.357,0
0.0,10.0,32,0.19456,3626.3,4503.1,9.4221,27.089,42.475,2716.5,74.804,120.41,0.34057,80.261,50.7,2645.2,24.892,47.75,3111.4,23.029,65.77,231.41,342.21,94.696,77.799,31.936,8.8305,27.238,6.9097,18.429,1.6466,32.797,13.894,24.256,1.3443,18.374,2.2394,4.8213,2.3207,0.030831,0.81773,0.073152,53.298,44.408,62.107,54.213,19.36,61.439,22.862,40.215,40.16,41.328,48.192,41.48,17.874,0
0.0,10.0,33,0.25585,3647.7,4546.0,9.3742,26.693,42.01,2720.3,74.729,120.41,0.34235,80.469,49.275,2649.4,24.456,48.371,3115.5,22.603,65.853,232.39,342.26,94.559,77.799,31.907,8.8814,26.452,7.0023,18.672,1.6295,32.997,13.831,24.239,1.2219,18.068,2.2376,4.8556,2.2752,0.030831,0.81773,0.073152,53.298,44.408,62.685,54.289,25.439,61.41,22.617,41.394,35.965,42.765,48.035,40.827,18.849,0
0.0,10.0,34,0.25818,3655.3,4552.2,9.4153,27.088,42.229,2718.7,74.841,120.44,0.34607,80.117,50.045,2647.6,24.703,50.063,3116.0,23.921,65.884,232.7,342.24,94.653,77.209,31.907,8.8814,26.452,7.0023,18.672,1.6295,32.997,13.831,24.239,1.2219,18.068,2.2376,4.8556,2.2752,0.030831,0.81773,0.073152,53.298,44.408,62.555,54.215,25.21,61.78,22.603,40.94,38.232,46.68,47.937,41.597,15.759,0
0.0,10.0,35,0.26429,3629.5,4534.4,9.2817,27.015,42.317,2717.8,75.883,120.4,0.34168,79.903,49.976,2647.1,25.303,48.626,3114.6,21.824,65.802,231.2,342.71,94.609,77.147,32.193,8.8864,26.632,6.9807,18.701,1.6718,33.256,13.798,24.407,1.1465,18.433,2.2353,4.902,2.247,0.030831,0.81773,0.073152,53.298,44.408,62.116,53.867,25.69,63.083,22.624,39.861,38.028,43.353,48.011,40.63,20.749,0
0.0,10.0,36,0.26335,3592.4,4516.5,9.3621,27.065,42.191,2717.6,74.464,120.4,0.34074,79.606,49.145,2646.6,23.699,50.547,3113.5,22.242,65.691,231.72,342.89,94.716,77.033,32.193,8.8864,26.632,6.9807,18.701,1.6718,33.256,13.798,24.407,1.1465,18.433,2.2353,4.902,2.247,-0.0022108,0.82207,0.096894,53.325,43.577,62.754,54.082,25.782,61.967,22.967,39.975,35.583,47.799,47.587,40.76,19.8,0
0.0,10.0,37,0.23644,3636.5,4525.6,9.3857,26.848,42.161,2717.6,74.754,120.4,0.33677,79.472,50.455,2646.2,24.867,51.453,3113.3,22.881,65.548,231.43,343.19,94.719,77.267,31.895,8.855,26.583,6.7984,18.564,1.7136,32.708,13.667,24.59,1.1039,18.028,2.1808,4.7388,2.3306,-0.0022108,0.82207,0.096894,53.325,43.577,62.083,53.918,23.269,64.711,22.954,39.54,39.44,49.897,47.424,41.278,18.297,0
0.0,10.0,38,0.2342,3614.4,4528.2,9.4074,27.167,42.621,2722.5,74.181,120.4,0.33721,79.804,49.335,2652.4,26.46,49.741,3116.5,23.672,65.503,231.38,343.79,94.754,77.447,31.895,8.855,26.583,6.7984,18.564,1.7136,32.708,13.667,24.59,1.1039,18.028,2.1808,4.7388,2.3306,-0.0022108,0.82207,0.096894,53.325,43.577,62.462,53.887,23.489,63.216,23.448,39.486,36.143,45.934,47.24,40.68,16.393,0
0.0,10.0,39,0.26655,3677.8,4524.7,9.4725,26.869,42.26,2726.7,74.41,120.41,0.31924,80.0,49.706,2655.9,25.689,49.922,3121.9,22.417,65.51,232.1,343.29,94.468,77.64,32.18,9.02,27.006,6.6888,19.189,1.6019,33.003,13.755,24.794,1.0532,18.31,2.2335,4.8165,2.1967,-0.0022108,0.82207,0.096894,53.325,43.577,62.963,54.289,26.289,62.641,22.992,38.041,37.234,46.354,46.983,40.808,19.34,0
0.0,10.0,40,0.26686,3666.2,4557.9,9.4924,26.804,42.54,2726.7,74.752,120.44,0.32235,79.836,49.154,2655.9,24.055,48.733,3122.5,22.991,65.538,230.49,343.69,94.432,77.201,32.18,9.02,27.006,6.6888,19.189,1.6019,33.003,13.755,24.794,1.0532,18.31,2.2335,4.8165,2.1967,-0.0022108,0.82207,0.096894,53.325,43.577,63.162,53.892,26.258,61.946,23.012,37.662,35.609,43.601,46.932,41.665,18.004,0
0.0,10.0,41,0.23862,3731.0,4475.1,9.3694,26.999,42.358,2725.4,74.097,120.41,0.32996,79.639,49.601,2654.4,24.753,49.883,3120.0,22.858,65.513,227.6,344.35,94.368,76.85,32.549,8.9596,26.838,6.7804,18.225,1.6476,33.062,13.773,24.961,1.0154,18.05,2.2693,4.743,2.2247,0.030193,0.81713,0.068873,53.982,44.161,63.139,53.331,23.923,62.191,23.286,38.945,36.924,46.263,47.083,41.093,18.35,0
0.0,10.0,42,0.24216,3708.9,4480.9,9.1839,27.138,42.106,2723.3,74.94,120.42,0.33203,79.467,50.884,2652.5,24.767,49.6,3117.7,22.604,65.417,228.54,344.23,94.443,77.173,32.549,8.9596,26.838,6.7804,18.225,1.6476,33.062,13.773,24.961,1.0154,18.05,2.2693,4.743,2.2247,0.030193,0.81713,0.068873,53.982,44.161,63.521,53.262,23.575,64.089,23.16,38.692,40.703,45.608,46.85,42.385,18.953,0
0.0,10.0,43,0.20177,3693.6,4570.4,9.3761,27.206,42.089,2723.0,75.364,120.39,0.3279,79.533,49.885,2652.9,22.768,49.968,3116.4,23.946,65.364,228.69,343.9,94.362,77.184,32.421,8.7433,26.695,6.8725,18.77,1.6578,33.167,13.654,24.752,1.3069,17.558,2.2213,4.8434,2.3371,0.030193,0.81713,0.068873,53.982,44.161,63.119,54.568,20.161,64.777,23.426,39.567,37.761,46.46,46.692,40.744,15.772,0
0.0,10.0,44,0.20421,3646.0,4578.5,9.4934,27.176,42.077,2725.4,75.448,120.43,0.33091,79.791,48.245,2655.0,26.323,48.396,3118.2,22.724,65.379,229.13,344.12,94.465,77.625,32.421,8.7433,26.695,6.8725,18.77,1.6578,33.167,13.654,24.752,1.3069,17.558,2.2213,4.8434,2.3371,0.030193,0.81713,0.068873,53.982,44.161,63.938,54.471,19.922,61.454,23.625,39.2,32.935,42.823,46.502,41.91,18.633,0
0.0,10.0,45,0.21255,3615.2,4529.3,9.3944,26.74,42.214,2724.3,74.754,120.4,0.31853,79.814,48.398,2654.7,24.62,47.588,3118.0,23.015,65.393,227.85,343.78,94.421,77.089,31.755,8.7524,27.114,6.8295,18.667,1.62,32.959,13.82,24.579,1.0584,18.505,2.2729,4.7192,2.3326,0.030193,0.81713,0.068873,53.982,44.161,63.712,53.77,20.917,61.993,23.2,37.376,33.386,40.951,46.463,41.383,17.969,0
0.0,10.0,46,0.213,3649.7,4480.5,9.3113,26.803,42.187,2722.5,75.074,120.39,0.31748,79.57,49.86,2650.5,24.512,49.433,3117.2,22.595,65.355,229.23,343.88,94.638,77.048,31.755,8.7524,27.114,6.8295,18.667,1.62,32.959,13.82,24.579,1.0584,18.505,2.2729,4.7192,2.3326,0.022137,0.83668,0.097312,53.498,44.486,63.118,54.354,20.873,62.065,22.999,37.505,37.687,45.223,46.037,40.791,18.98,0
0.0,10.0,47,0.2771,3668.5,4505.9,9.3669,26.772,42.182,2721.0,75.159,120.4,0.33492,79.363,50.319,2650.0,24.625,50.625,3116.0,22.989,65.301,224.26,343.89,94.454,76.875,32.141,8.9883,26.835,6.8367,18.887,1.6426,33.205,13.68,24.937,1.2137,17.585,2.2612,4.8064,2.252,0.022137,0.83668,0.097312,53.498,44.486,63.202,54.313,27.459,62.85,23.164,39.684,39.039,47.98,46.266,41.148,18.086,0
0.0,10.0,48,0.27712,3683.2,4547.3,9.349,26.787,42.532,2725.2,75.104,120.4,0.3348,79.635,50.014,2655.4,24.004,51.673,3117.6,22.927,65.227,226.99,344.13,94.59,77.474,32.141,8.9883,26.835,6.8367,18.887,1.6426,33.205,13.68,24.937,1.2137,17.585,2.2612,4.8064,2.252,0.022137,0.83668,0.097312,53.498,44.486,62.949,53.817,27.457,61.155,23.565,39.699,38.141,50.405,45.813,41.701,18.19,0
0.0,10.0,49,0.24261,3693.8,4512.1,9.2901,26.839,42.262,2727.1,75.28,120.41,0.31813,79.928,47.424,2657.0,24.222,50.364,3120.9,22.348,65.304,225.59,343.79,94.44,77.827,32.077,8.907,26.341,7.0066,18.352,1.641,32.754,13.725,24.432,1.3689,17.494,2.2491,4.8386,2.2645,0.022137,0.83668,0.097312,53.498,44.486,62.749,53.697,23.99,63.114,23.43,37.875,30.518,47.377,45.722,42.04,19.512,0
0.0,10.0,50,0.24468,3655.8,4477.0,9.4234,26.877,42.358,2725.2,75.609,120.39,0.32628,79.815,48.456,2654.7,25.155,51.011,3119.5,22.339,65.366,224.66,344.1,94.461,77.15,32.077,8.907,26.341,7.0066,18.352,1.641,32.754,13.725,24.432,1.3689,17.494,2.2491,4.8386,2.2645,0.022137,0.83668,0.097312,53.498,44.486,63.404,54.118,23.787,63.291,23.087,36.88,33.555,48.873,45.583,40.664,19.569,0
0.0,10.0,51,0.24923,3659.9,4561.5,9.3876,26.705,42.487,2722.4,74.823,120.39,0.32382,79.399,49.561,2651.3,25.468,51.24,3118.1,22.576,65.299,223.32,343.66,94.683,76.673,32.276,9.0446,26.951,7.0622,18.566,1.6204,33.533,13.693,24.59,1.4544,18.159,2.2162,4.6448,2.3353,0.024728,0.83866,0.0916,53.694,43.959,61.805,54.446,24.727,61.478,22.819,38.222,36.807,49.403,45.975,40.924,19.07,0
0.0,10.0,52,0.25022,3646.1,4568.0,9.3297,26.606,42.334,2723.5,75.781,120.37,0.32626,79.309,51.06,2652.8,24.063,48.976,3115.8,22.99,65.188,224.96,344.6,94.701,76.907,32.276,9.0446,26.951,7.0622,18.566,1.6204,33.533,13.693,24.59,1.4544,18.159,2.2162,4.6448,2.3353,0.024728,0.83866,0.0916,53.694,43.959,62.043,54.368,24.63,61.136,23.326,37.923,41.221,44.165,45.835,40.495,18.107,0
0.0,10.0,53,0.23164,3607.8,4581.9,9.5108,27.059,42.282,2725.4,75.82,120.38,0.31915,79.458,48.175,2654.6,25.052,51.151,3118.4,22.781,65.126,226.27,344.29,94.698,77.634,32.315,8.8865,26.486,7.0511,18.16,1.6438,33.045,13.674,24.909,1.1967,18.1,2.2348,4.7896,2.3555,0.024728,0.83866,0.0916,53.694,43.959,62.071,53.73,22.691,60.069,23.854,37.747,32.728,49.198,45.724,40.476,18.554,0
0.0,10.0,54,0.22942,3650.6,4509.1,9.4929,26.704,42.348,2729.3,74.538,120.38,0.32021,79.733,48.698,2658.6,26.477,49.673,3122.6,22.816,65.174,227.66,344.34,94.823,77.278,32.315,8.8865,26.486,7.0511,18.16,1.6438,33.045,13.674,24.909,1.1967,18.1,2.2348,4.7896,2.3555,0.024728,0.83866,0.0916,53.694,43.959,61.335,54.602,22.91,61.346,23.232,37.617,34.267,45.778,45.601,40.776,18.478,0
0.0,10.0,55,0.22646,3578.4,4555.0,9.3995,27.089,42.245,2730.8,74.373,120.38,0.31734,79.786,50.434,2660.1,25.582,49.096,3123.8,22.619,65.221,224.43,344.6,94.58,77.498,32.567,8.9676,27.016,6.7223,18.404,1.613,33.359,13.639,24.74,1.2181,17.877,2.2119,4.7498,2.276,0.024728,0.83866,0.0916,53.694,43.959,62.509,55.119,22.243,60.909,23.714,37.263,39.377,44.443,45.887,40.257,18.913,0
